Uncleaned Order Data
//ord_09004//Tanvi Gupta-161BTM Layout//Anil Gupta*Burger+1+/7/1/2023//Online Payment//Delivered+On Time Delivery
"//ord_15001//Deepak Sharma-197HSR Layout//Manoj Singh*Butter Naan+4+/10/8/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_32975//Vaishnavi M-111Brigade Road//Siddharth Singh*Chicken Biryani+6+/9/29/2023//Online Payment//Delivered+Good Service
"//ord_34974//Tanvi Gupta-161BTM Layout//Sneha Verma*Paneer Tikka+1+/5/20/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_36973//Vaishnavi M-111Brigade Road//Rajesh Kumar*Fish Biryani+6+/10/1/2023//UPI//Delivered+Good Service
//ord_38972//Naveen Kumar-265Koramangala//Ravi Tiwari*Veg Biryani+3+/7/25/2023//Credit Card//Cancelled+Change in Plans
"//ord_40971//Vaishnavi M-111Brigade Road//Ravi Tiwari*Sushi+2+/9/1/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_42970//Anjali Jain-288Malleswaram//Siddharth Singh*Veg Biryani+2+/3/31/2023//UPI//Delivered+On Time Delivery
"//ord_44969//Sneha Jain-226HSR Layout//Anil Gupta*Pasta+2+/8/27/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_46968//Priya Singh-199Brigade Road//Divya Patel*Chicken Biryani+2+/4/2/2023//UPI//Delivered+Good Service
//ord_48967//Sneha Jain-226HSR Layout//Not Assigned*Noodles+1+/11/10/2023//UPI//Cancelled+App Glitch
//ord_50966//Rohit Singh-165Indiranagar//Not Assigned*Masala Dosa+1+/6/6/2023//UPI//Cancelled+Payment Issues
//ord_52965//Arjun Shah-155MG Road//Not Assigned*Chicken Biryani+2+/6/10/2023//Credit Card//Cancelled+High Delivery Fees
"//ord_54964//Karan Sharma-216Marathahalli//Ananya Reddy*Sushi+2+/7/27/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_56963//Sneha Jain-226HSR Layout//Anil Gupta*Veg Biryani+2+/9/5/2023//COD//Delivered+Good Service
//ord_58962//Venugopal V-231Koramangala//Divya Patel*Chicken Tikka+3+/9/27/2023//Credit Card//Delivered+On Time Delivery
//ord_60961//Akash Gupta-281Jayanagar//Not Assigned*Chicken Fried Rice+2+/9/7/2023//Online Payment//Cancelled+App Glitch
//ord_62960//Neha Patel-104Whitefield//Not Assigned*Pasta+2+/8/26/2023//Credit Card//Cancelled+Payment Issues
//ord_64959//Priyanka Singh-242Koramangala//Sneha Verma*Fish Curry+1+/1/9/2023//UPI//Delivered+Good Service
"//ord_66958//Priyanka Singh-242Koramangala//Manoj Singh*Chicken Tikka+1+/5/1/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_68957//Rohit Singh-165Indiranagar//Manoj Singh*Sushi+1+/5/19/2023//COD//Delivered+On Time Delivery
"//ord_70956//Akash Gupta-281Jayanagar//Sneha Verma*Chicken Tikka+1+/3/23/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_72955//Kriti Patel-227Whitefield//Ravi Tiwari*Chicken Biryani+2+/12/10/2023//Credit Card//Delivered+Good Service
//ord_74954//Akash Gupta-281Jayanagar//Siddharth Singh*Burger+2+/5/17/2023//UPI//Delivered+Good Service
"//ord_76953//Naveen Kumar-265Koramangala//Manoj Singh*Samosa+5+/12/11/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_78952//Nisha Gupta-116Koramangala//Ananya Reddy*Chicken Curry+2+/9/18/2023//UPI//Cancelled+Delayed Delivery
//ord_80951//Rohan Patel-234Indiranagar//Manoj Singh*Pav Bhaji+2+/7/2/2023//UPI//Delivered+Good Service
//ord_82950//Priya Singh-199Brigade Road//Not Assigned*Tandoori Chicken+3+/6/22/2023//Credit Card//Cancelled+Payment Issues
//ord_84949//Nisha Gupta-116Koramangala//Anil Gupta*Tandoori Chicken+3+/8/16/2023//COD//Delivered+Good Service
//ord_86948//Anika Verma-198Indiranagar//Manoj Singh*Pav Bhaji+3+/12/20/2023//COD//Delivered+On Time Delivery
"//ord_88947//Anjali Jain-288Malleswaram//Anil Gupta*Tandoori Chicken+3+/8/23/2023//COD//Delivered+Fast delivery, fresh food"
//ord_90946//Arjun Shah-155MG Road//Sneha Verma*Fish Biryani+2+/12/3/2023//UPI//Cancelled+Delayed Delivery
//ord_92945//Shreya Singh-268Marathahalli//Anil Gupta*Hakka Noodles+2+/11/7/2023//Credit Card//Delivered+Good Service
//ord_94944//Rohan Patel-234Indiranagar//Manoj Singh*Hakka Noodles+1+/4/15/2023//Credit Card//Delivered+On Time Delivery
//ord_96943//Akash Gupta-281Jayanagar//Anil Gupta*Samosa+5+/3/7/2023//COD//Delivered+On Time Delivery
"//ord_98942//Deepak Sharma-197HSR Layout//Divya Patel*Fish Biryani+2+/10/19/2023//COD//Delivered+Fast delivery, fresh food"
//ord_10141//Arjun Shah-155MG Road//Sneha Verma*Pav Bhaji+2+/10/16/2023//Credit Card//Cancelled+Delayed Delivery
//ord_10240//Naveen Kumar-265Koramangala//Not Assigned*Tandoori Chicken+3+/11/16/2023//Credit Card//Cancelled+App Glitch
//ord_10339//Neha Patel-104Whitefield//Ravi Tiwari*Veg Biryani+2+/11/24/2023//Online Payment//Delivered+Good Service
//ord_10438//Akash Gupta-281Jayanagar//Manoj Singh*Burger+2+/8/22/2023//Credit Card//Delivered+Good Service
"//ord_10537//Arjun Shah-155MG Road//Ravi Tiwari*Chicken Biryani+2+/9/12/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_10636//Rohit Singh-165Indiranagar//Siddharth Singh*Fish Curry+1+/7/31/2023//UPI//Delivered+Good Service
"//ord_10735//Raj Kapoor-218Malleswaram//Pooja Sharma*Noodles+1+/11/9/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_10834//Neha Patel-104Whitefield//Manoj Singh*Fish Curry+1+/6/5/2023//Credit Card//Delivered+On Time Delivery
"//ord_10933//Karan Sharma-216Marathahalli//Sneha Verma*Butter Chicken+3+/7/3/2023//Credit Card//Delivered+Fast delivery, fresh food"
"//ord_11032//Tanvi Gupta-161BTM Layout//Ravi Tiwari*Samosa+5+/12/7/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_11131//Vaishnavi M-111Brigade Road//Divya Patel*Chicken Curry+3+/12/1/2023//UPI//Delivered+On Time Delivery
//ord_11230//Vaishnavi M-111Brigade Road//Manoj Singh*Tandoori Chicken+4+/11/15/2023//UPI//Delivered+On Time Delivery
//ord_11329//Naveen Kumar-265Koramangala//Ravi Tiwari*Pav Bhaji+2+/2/1/2023//Credit Card//Delivered+Good Service
//ord_11300//Kriti Patel-227Whitefield//Sneha Verma*Fish Biryani+2+/1/23/2023//Credit Card//Delivered+Good Service
//ord_11527//Tanvi Gupta-161BTM Layout//Siddharth Singh*Noodles+1+/9/22/2023//Online Payment//Delivered+Good Service
"//ord_11626//Deepak Sharma-197HSR Layout//Siddharth Singh*Burger+1+/4/23/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_11725//Tanvi Gupta-161BTM Layout//Rajesh Kumar*Pav Bhaji+2+/6/21/2023//UPI//Delivered+On Time Delivery
//ord_11824//Neha Patel-104Whitefield//Rajesh Kumar*Paneer Tikka+1+/9/14/2023//Online Payment//Delivered+On Time Delivery
//ord_11923//Priyanka Singh-242Koramangala//Not Assigned*Noodles+1+/10/4/2023//Credit Card//Cancelled+Payment Issues
"//ord_12022//Priya Singh-199Brigade Road//Anil Gupta*Veg Biryani+2+/6/2/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_12121//Akash Gupta-281Jayanagar//Ravi Tiwari*Tandoori Chicken+3+/6/19/2023//UPI//Delivered+Good Service
//ord_12220//Raj Kapoor-218Malleswaram//Sneha Verma*Fish Curry+1+/2/18/2023//COD//Delivered+Good Service
//ord_12319//Karan Sharma-216Marathahalli//Manoj Singh*Noodles+2+/11/2/2023//UPI//Delivered+Good Service
//ord_12418//Anjali Jain-288Malleswaram//Ravi Tiwari*Hakka Noodles+1+/9/4/2023//COD//Delivered+Good Service
"//ord_12517//Sneha Jain-226HSR Layout//Manoj Singh*Chicken Biryani+2+/7/23/2023//COD//Delivered+Fast delivery, fresh food"
//ord_12616//Rohan Patel-234Indiranagar//Manoj Singh*Burger+2+/6/20/2023//COD//Delivered+On Time Delivery
//ord_12715//Naveen Kumar-265Koramangala//Sneha Verma*Pasta+2+/5/15/2023//UPI//Cancelled+Delayed Delivery
"//ord_12814//Aryan Shah-113Jayanagar//Siddharth Singh*Veg Biryani+2+/1/5/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_12913//Anjali Jain-288Malleswaram//Divya Patel*Veg Biryani+2+/4/11/2023//Credit Card//Delivered+Good Service
//ord_13012//Neha Patel-104Whitefield//Rajesh Kumar*Chicken Tikka+2+/11/4/2023//Online Payment//Delivered+On Time Delivery
//ord_13111//Vaishnavi M-111Brigade Road//Sneha Verma*Chicken Fried Rice+6+/9/19/2023//Credit Card//Delivered+On Time Delivery
//ord_13210//Pooja Patel-221BTM Layout//Not Assigned*Pav Bhaji+2+/4/19/2023//Credit Card//Cancelled+Out of Stock
//ord_13309//Anjali Jain-288Malleswaram//Pooja Sharma*Masala Dosa+1+/7/6/2023//Online Payment//Delivered+On Time Delivery
//ord_13408//Aryan Shah-113Jayanagar//Rajesh Kumar*Sushi+1+/11/24/2023//Credit Card//Cancelled+Delayed Delivery
"//ord_13507//Akash Gupta-281Jayanagar//Divya Patel*Butter Naan+4+/2/18/2023//COD//Delivered+Fast delivery, fresh food"
//ord_13606//Tanvi Gupta-161BTM Layout//Not Assigned*Chicken Biryani+6+/7/20/2023//Credit Card//Cancelled+Payment Issues
"//ord_13705//Raj Kapoor-218Malleswaram//Pooja Sharma*Pasta+2+/1/30/2023//Credit Card//Delivered+Fast delivery, fresh food"
"//ord_13804//Tanvi Gupta-161BTM Layout//Siddharth Singh*Veg Biryani+2+/6/12/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_13903//Raj Kapoor-218Malleswaram//Divya Patel*Pasta+2+/1/28/2023//Online Payment//Delivered+Good Service
//ord_14002//Anjali Jain-288Malleswaram//Anil Gupta*Butter Chicken+3+/1/2/2023//Credit Card//Cancelled+Change in Plans
//ord_14101//Akash Gupta-281Jayanagar//Ravi Tiwari*Chicken Fried Rice+2+/6/21/2023//Credit Card//Cancelled+Delayed Delivery
"//ord_14200//Anika Verma-198Indiranagar//Ananya Reddy*Hakka Noodles+3+/11/2/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_14299//Arjun Shah-155MG Road//Not Assigned*Fish Biryani+2+/5/19/2023//Credit Card//Cancelled+High Delivery Fees
"//ord_14398//Pooja Patel-221BTM Layout//Manoj Singh*Fish Biryani+2+/1/8/2023//COD//Delivered+Fast delivery, fresh food"
//ord_14497//Priyanka Singh-242Koramangala//Manoj Singh*Pasta+2+/5/2/2023//UPI//Cancelled+Delayed Delivery
//ord_14596//Neha Patel-104Whitefield//Siddharth Singh*Butter Chicken+3+/9/8/2023//UPI//Delivered+Good Service
//ord_14695//Aryan Shah-113Jayanagar//Manoj Singh*Pasta+2+/1/1/2023//Credit Card//Cancelled+Change in Plans
//ord_14794//Tanvi Gupta-161BTM Layout//Not Assigned*Fish Curry+1+/1/6/2023//UPI//Cancelled+Out of Stock
//ord_14893//Neha Ramachandran-128Marathahalli//Pooja Sharma*Pasta+2+/11/3/2023//Online Payment//Delivered+Good Service
"//ord_14992//Aryan Shah-113Jayanagar//Ananya Reddy*Chicken Fried Rice+2+/7/31/2023//COD//Delivered+Fast delivery, fresh food"
//ord_15091//Rohan Patel-234Indiranagar//Ananya Reddy*Chicken Tikka+1+/3/4/2023//UPI//Cancelled+Delayed Delivery
//ord_15190//Kriti Patel-227Whitefield//Rajesh Kumar*Pizza+3+/4/18/2023//UPI//Delivered+Good Service
//ord_15289//Priya Singh-199Brigade Road//Ananya Reddy*Burger+1+/5/22/2023//UPI//Cancelled+Delayed Delivery
//ord_15388//Sneha Jain-226HSR Layout//Anil Gupta*Veg Biryani+2+/8/3/2023//COD//Delivered+Good Service
"//ord_15487//Karan Sharma-216Marathahalli//Anil Gupta*Hakka Noodles+2+/3/11/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_15586//Rohit Singh-165Indiranagar//Anil Gupta*Hakka Noodles+1+/1/29/2023//Online Payment//Delivered+Good Service
//ord_15685//Rohit Singh-165Indiranagar//Anil Gupta*Butter Naan+4+/11/2/2023//UPI//Delivered+On Time Delivery
"//ord_15784//Kriti Patel-227Whitefield//Manoj Singh*Pizza+3+/12/10/2023//COD//Delivered+Fast delivery, fresh food"
//ord_15883//Sneha Jain-226HSR Layout//Not Assigned*Veg Biryani+2+/4/5/2023//Credit Card//Cancelled+High Delivery Fees
//ord_15982//Rohit Singh-165Indiranagar//Ananya Reddy*Fish Curry+1+/3/5/2023//Credit Card//Cancelled+Delayed Delivery
//ord_16081//Pooja Patel-221BTM Layout//Siddharth Singh*Noodles+1+/11/30/2023//Online Payment//Cancelled+Delayed Delivery
"//ord_16180//Reenu Raj-129Malleswaram//Anil Gupta*Butter Naan+7+/10/6/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_16279//Prithvi Singhaniya-290HSR Layout//Rajesh Kumar*Chicken Fried Rice+3+/12/12/2023//Online Payment//Delivered+Good Service
"//ord_16378//Arpana P -286Jayanagar//Rajesh Kumar*Paneer Tikka+2+/6/22/2022//Online Payment//Delivered+Fast delivery, fresh food"
//ord_16477//Manohar Joshy-279Marathahalli//Rajesh Kumar*Chicken Biryani+3+/6/12/2023//UPI//Delivered+Good Service
"//ord_16576//Rehana Hussain-203BTM Layout//Anil Gupta*Chicken Biryani+4+/11/24/2022//COD//Delivered+Fast delivery, fresh food"
//ord_16675//Reenu Raj-129Malleswaram//Anil Gupta*Butter Chicken+1+/9/19/2023//Credit Card//Delivered+Good Service
//ord_16774//Akash Gupta-281Jayanagar//Pooja Sharma*Hakka Noodles+1+/8/25/2023//Online Payment//Cancelled+Delayed Delivery
//ord_16873//Naveen Kumar-265Koramangala//Ananya Reddy*Fish Biryani+3+/9/18/2023//Online Payment//Cancelled+Delayed Delivery
"//ord_16972//Pooja Patel-221BTM Layout//Pooja Sharma*Tandoori Chicken+3+/4/4/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_17071//Rahul Sharma-215MG Road//Not Assigned*Chicken Curry+2+/7/17/2023//Credit Card//Cancelled+Payment Issues
//ord_17170//Rohit Singh-165Indiranagar//Not Assigned*Burger+1+/6/12/2023//Credit Card//Cancelled+Out of Stock
//ord_17269//Arjun Shah-155MG Road//Not Assigned*Sushi+1+/2/15/2023//Online Payment//Cancelled+Payment Issues
//ord_17368//Karan Sharma-216Marathahalli//Anil Gupta*Butter Naan+4+/12/15/2023//Credit Card//Cancelled+Change in Plans
//ord_17467//Anjali Jain-288Malleswaram//Sneha Verma*Paneer Tikka+1+/3/10/2023//Credit Card//Delivered+Good Service
"//ord_17566//Shreya Singh-268Marathahalli//Pooja Sharma*Hakka Noodles+2+/10/19/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_17665//Aryan Shah-113Jayanagar//Pooja Sharma*Fish Biryani+2+/7/8/2023//COD//Delivered+Good Service
//ord_17764//Deepak Sharma-197HSR Layout//Not Assigned*Hakka Noodles+1+/2/1/2023//Credit Card//Cancelled+App Glitch
//ord_17863//Rohan Patel-234Indiranagar//Siddharth Singh*Pizza+3+/9/13/2023//Credit Card//Cancelled+Change in Plans
//ord_17962//Aryan Shah-113Jayanagar//Ravi Tiwari*Butter Chicken+3+/2/5/2023//Online Payment//Delivered+Good Service
//ord_18061//Rahul Sharma-215MG Road//Not Assigned*Pasta+2+/2/14/2023//UPI//Cancelled+Out of Stock
//ord_18160//Arpana P -286Jayanagar//Rajesh Kumar*Tandoori Chicken+1+/12/8/2022//UPI//Delivered+Good Service
"//ord_18259//Manohar Joshy-279Marathahalli//Divya Patel*Chicken Curry+1+/6/2/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_18358//Anjali Jain-288Malleswaram//Not Assigned*Hakka Noodles+1+/2/28/2023//Credit Card//Cancelled+Payment Issues
//ord_18457//Nisha Gupta-116Koramangala//Not Assigned*Fish Curry+1+/12/27/2023//Credit Card//Cancelled+App Glitch
//ord_18556//Akash Gupta-281Jayanagar//Not Assigned*Chicken Fried Rice+2+/7/14/2023//UPI//Cancelled+Out of Stock
//ord_18655//Rahul Sharma-215MG Road//Siddharth Singh*Pasta+2+/11/6/2023//Credit Card//Cancelled+Delayed Delivery
//ord_18754//Naveen Kumar-265Koramangala//Siddharth Singh*Pasta+2+/9/12/2023//Online Payment//Cancelled+Delayed Delivery
//ord_18853//Tanvi Gupta-161BTM Layout//Not Assigned*Chicken Tikka+1+/6/15/2023//UPI//Cancelled+App Glitch
"//ord_18952//Rohan Patel-234Indiranagar//Anil Gupta*Chicken Fried Rice+2+/3/14/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_19051//Priyanka Singh-242Koramangala//Not Assigned*Chicken Fried Rice+2+/1/24/2023//UPI//Cancelled+Out of Stock
//ord_19150//Shreya Singh-268Marathahalli//Manoj Singh*Chicken Curry+2+/12/17/2023//UPI//Delivered+On Time Delivery
"//ord_19249//Karan Sharma-216Marathahalli//Rajesh Kumar*Chicken Biryani+4+/7/13/2023//COD//Delivered+Fast delivery, fresh food"
//ord_19348//Akash Gupta-281Jayanagar//Anil Gupta*Noodles+1+/1/4/2023//UPI//Delivered+Good Service
//ord_19447//Rohit Singh-165Indiranagar//Ravi Tiwari*Fish Curry+1+/4/14/2023//UPI//Delivered+Good Service
"//ord_19546//Rohan Patel-234Indiranagar//Divya Patel*Butter Naan+8+/1/4/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_19645//Tanvi Gupta-161BTM Layout//Manoj Singh*Fish Biryani+6+/11/24/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_19744//Akash Gupta-281Jayanagar//Manoj Singh*Chicken Biryani+2+/6/14/2023//Online Payment//Delivered+Good Service
"//ord_19843//Aryan Shah-113Jayanagar//Pooja Sharma*Samosa+5+/7/15/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_19942//Karan Sharma-216Marathahalli//Ravi Tiwari*Chicken Biryani+4+/12/9/2023//UPI//Delivered+On Time Delivery
//ord_20041//Manohar Joshy-279Marathahalli//Rajesh Kumar*Butter Chicken+1+/4/13/2023//UPI//Delivered+Good Service
//ord_20140//Nisha Gupta-116Koramangala//Not Assigned*Pasta+2+/8/10/2023//Online Payment//Cancelled+Payment Issues
//ord_20239//Karan Sharma-216Marathahalli//Ravi Tiwari*Chicken Biryani+4+/11/7/2023//Online Payment//Delivered+Good Service
//ord_20338//Priyanka Singh-242Koramangala//Anil Gupta*Butter Naan+4+/8/23/2023//Online Payment//Delivered+Good Service
"//ord_20437//Rehana Hussain-203BTM Layout//Ananya Reddy*Tandoori Chicken+1+/6/22/2022//UPI//Delivered+Fast delivery, fresh food"
//ord_20536//Arpana P -286Jayanagar//Anil Gupta*Masala Dosa+2+/5/4/2022//Credit Card//Delivered+Good Service
//ord_20635//Shreya Singh-268Marathahalli//Manoj Singh*Hakka Noodles+2+/3/6/2023//Credit Card//Cancelled+Delayed Delivery
//ord_20734//Akash Gupta-281Jayanagar//Divya Patel*Fish Curry+1+/1/1/2023//Online Payment//Delivered+On Time Delivery
"//ord_20833//Rohit Singh-165Indiranagar//Sneha Verma*Burger+1+/9/26/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_20932//Tanvi Gupta-161BTM Layout//Siddharth Singh*Chicken Fried Rice+6+/5/26/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_21031//Karan Sharma-216Marathahalli//Ravi Tiwari*Chicken Curry+2+/8/31/2023//Credit Card//Delivered+Good Service
//ord_21130//Akash Gupta-281Jayanagar//Ananya Reddy*Masala Dosa+2+/3/23/2023//UPI//Delivered+Good Service
//ord_21229//Raj Kapoor-218Malleswaram//Rajesh Kumar*Chicken Tikka+1+/3/12/2023//Credit Card//Cancelled+Delayed Delivery
"//ord_21328//Sneha Jain-226HSR Layout//Manoj Singh*Chicken Tikka+1+/3/14/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_21427//Anika Verma-198Indiranagar//Pooja Sharma*Masala Dosa+6+/10/3/2023//COD//Delivered+On Time Delivery
"//ord_21526//Akash Gupta-281Jayanagar//Ananya Reddy*Chicken Curry+2+/11/17/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_21625//Akash Gupta-281Jayanagar//Not Assigned*Sushi+2+/3/28/2023//Online Payment//Cancelled+App Glitch
//ord_21724//Deepak Sharma-197HSR Layout//Ravi Tiwari*Sushi+1+/12/23/2023//UPI//Cancelled+Delayed Delivery
//ord_21823//Shreya Singh-268Marathahalli//Siddharth Singh*Fish Curry+1+/4/23/2023//COD//Delivered+Good Service
//ord_21922//Priya Singh-199Brigade Road//Anil Gupta*Samosa+5+/9/21/2023//Credit Card//Cancelled+Delayed Delivery
//ord_22021//Naveen Kumar-265Koramangala//Sneha Verma*Chicken Fried Rice+2+/1/5/2023//COD//Delivered+On Time Delivery
"//ord_22120//Neha Patel-104Whitefield//Pooja Sharma*Samosa+5+/1/8/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_22219//Tanvi Gupta-161BTM Layout//Sneha Verma*Burger+1+/12/6/2023//COD//Delivered+Good Service
"//ord_22318//Karan Sharma-216Marathahalli//Pooja Sharma*Butter Chicken+3+/1/16/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_22417//Rohan Patel-234Indiranagar//Pooja Sharma*Tandoori Chicken+3+/3/22/2023//UPI//Cancelled+Change in Plans
"//ord_22516//Anika Verma-198Indiranagar//Pooja Sharma*Veg Biryani+3+/9/3/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_22615//Nisha Gupta-116Koramangala//Not Assigned*Veg Biryani+2+/6/4/2023//Credit Card//Cancelled+Out of Stock
//ord_22714//Aryan Shah-113Jayanagar//Not Assigned*Veg Biryani+2+/8/14/2023//Credit Card//Cancelled+High Delivery Fees
//ord_22813//Karan Sharma-216Marathahalli//Manoj Singh*Pasta+2+/3/9/2023//Credit Card//Cancelled+Change in Plans
//ord_22912//Priya Singh-199Brigade Road//Anil Gupta*Butter Chicken+3+/1/29/2023//Online Payment//Delivered+On Time Delivery
"//ord_23011//Sneha Jain-226HSR Layout//Sneha Verma*Chicken Fried Rice+2+/4/19/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_23110//Aryan Shah-113Jayanagar//Not Assigned*Veg Biryani+2+/11/23/2023//Credit Card//Cancelled+Payment Issues
//ord_23209//Priya Singh-199Brigade Road//Anil Gupta*Pav Bhaji+2+/6/29/2023//Online Payment//Cancelled+Change in Plans
//ord_23308//Rahul Sharma-215MG Road//Sneha Verma*Paneer Tikka+1+/5/23/2023//Credit Card//Delivered+On Time Delivery
"//ord_23407//Kriti Patel-227Whitefield//Rajesh Kumar*Tandoori Chicken+3+/3/10/2023//UPI//Delivered+Fast delivery, fresh food"
//ord_23506//Arjun Shah-155MG Road//Manoj Singh*Butter Chicken+3+/12/29/2023//Online Payment//Delivered+On Time Delivery
//ord_23605//Aryan Shah-113Jayanagar//Ananya Reddy*Chicken Biryani+2+/12/24/2023//COD//Delivered+Good Service
"//ord_23704//Priya Singh-199Brigade Road//Ananya Reddy*Burger+1+/11/16/2023//Online Payment//Delivered+Fast delivery, fresh food"
//ord_23803//Aryan Shah-113Jayanagar//Manoj Singh*Fish Biryani+2+/5/10/2023//UPI//Delivered+Good Service
"//ord_23902//Kriti Patel-227Whitefield//Divya Patel*Pasta+2+/10/27/2023//Online Payment//Delivered+Fast delivery, fresh food"
"//ord_24001//Karan Sharma-216Marathahalli//Divya Patel*Noodles+2+/12/8/2023//Credit Card//Delivered+Fast delivery, fresh food"
//ord_24100//Deepak Sharma-197HSR Layout//Ananya Reddy*Chicken Biryani+2+/7/14/2023//COD//Delivered+Good Service
//ord_24199//Tanvi Gupta-161BTM Layout//Sneha Verma*Paneer Tikka+1+/5/6/2023//Online Payment//Delivered+Good Service
//ord_24298//Rahul Sharma-215MG Road//Sneha Verma*Chicken Biryani+2+/10/26/2023//COD//Delivered+On Time Delivery
